parent,node,branch.length,label,isTip,x,y,branch,angle
27,1,2566,PD34199a_c17,TRUE,2577,18,1294,308.571428571429
28,2,2163,PD34199a_c31,TRUE,2194,19,1112.5,325.714285714286
29,3,2527,PD34199a_c5,TRUE,2799,20,1535.5,342.857142857143
29,4,2278,PD34199a_c7,TRUE,2550,21,1411,360
26,5,2310,PD34199a_s13,TRUE,2316,17,1161,291.428571428571
30,6,1650,PD34199a_c22,TRUE,1650,14,825,240
31,7,2734,PD34199a_c27,TRUE,2734,15,1367,257.142857142857
31,8,2660,PD34199a_t18,TRUE,2660,16,1330,274.285714285714
34,9,2571,PD34199a_c28,TRUE,2585,12,1299.5,205.714285714286
34,10,2697,PD34199a_c3,TRUE,2711,13,1362.5,222.857142857143
33,11,1518,PD34199a_s27,TRUE,1521,11,762,188.571428571429
32,12,2463,PD34199a_t14,TRUE,2463,10,1231.5,171.428571428571
37,13,1698,PD34199a_s16,TRUE,1730,6,881,102.857142857143
39,14,2368,PD34199a_s2,TRUE,2402,8,1218,137.142857142857
39,15,2301,PD34199a_s4,TRUE,2335,9,1184.5,154.285714285714
38,16,2010,PD34199a_s31,TRUE,2042,7,1037,120
40,17,1755,PD34199a_t28,TRUE,1772,4,894.5,68.5714285714286
40,18,2884,PD34199a_t31,TRUE,2901,5,1459,85.7142857142857
35,19,2543,PD34199a_t22,TRUE,2543,3,1271.5,51.4285714285714
41,20,2394,PD34199a_t16,TRUE,2404,1,1207,17.1428571428571
41,21,2375,PD34199a_t24,TRUE,2385,2,1197.5,34.2857142857143
22,22,0,,FALSE,0,5.23828125,0,89.7991071428571
22,23,0,13,FALSE,0,8.9765625,0,153.883928571429
23,24,0,1,FALSE,0,13.609375,0,233.303571428571
24,25,0,0,FALSE,0,16.34375,0,280.178571428571
25,26,6,95,FALSE,6,17.9375,3,307.5
26,27,5,100,FALSE,11,18.875,8.5,323.571428571429
27,28,20,100,FALSE,31,19.75,21,338.571428571429
28,29,241,100,FALSE,272,20.5,151.5,351.428571428571
25,30,0,1,FALSE,0,14.75,0,252.857142857143
30,31,0,4,FALSE,0,15.5,0,265.714285714286
24,32,0,6,FALSE,0,10.875,0,186.428571428571
32,33,3,100,FALSE,3,11.75,1.5,201.428571428571
33,34,11,100,FALSE,14,12.5,8.5,214.285714285714
23,35,0,4,FALSE,0,4.34375,0,74.4642857142857
35,36,2,96,FALSE,2,5.6875,1,97.5
36,37,30,100,FALSE,32,6.875,17,117.857142857143
37,38,0,92,FALSE,32,7.75,32,132.857142857143
38,39,2,81,FALSE,34,8.5,33,145.714285714286
36,40,15,100,FALSE,17,4.5,9.5,77.1428571428571
22,41,10,100,FALSE,10,1.5,5,25.7142857142857
